data_point,predicted,difference,hit,
15.6,12.8806,2.71936,0,
16.1,13.2085,2.89146,0,
17.2,13.585,3.615,0,
17.2,13.9045,3.29552,0,
17.2,14.0484,3.15156,0,
15,13.9064,1.09358,1,
13.3,12.6192,0.680769,1,
13.3,11.0476,2.25242,0,
12.8,11.7019,1.09814,1,
12.8,11.3209,1.47909,0,
11.1,11.2835,0.183471,1,
11.1,11.1281,0.0280924,1,
10.6,10.3024,0.297634,1,
9.4,10.1008,0.700795,1,
10.6,9.717,0.882998,1,
11.7,9.60063,2.09937,0,
10,10.7289,0.728887,1,
8.9,10.8926,1.99255,0,
8.9,8.94056,0.0405598,1,
9.4,8.49845,0.901547,1,
9.4,8.70208,0.697921,1,
10,8.65681,1.34319,0,
9.4,9.71703,0.317031,1,
9.4,9.9514,0.551401,1,
10,9.68596,0.31404,1,
10.6,9.67032,0.929681,1,
10.6,9.50472,1.09528,0,
11.1,10.1535,0.946466,1,
12.8,10.2037,2.5963,0,
12.2,11.3718,0.828237,1,
13.3,11.4871,1.81286,0,
13.3,11.5497,1.75028,0,
13.9,12.3687,1.53134,0,
13.9,12.3045,1.59554,0,
13.3,12.4617,0.838282,1,
12.8,11.6456,1.15445,1,
12.2,10.7551,1.44487,0,
12.2,11.1195,1.08053,1,
11.7,10.8621,0.837919,1,
10,10.2256,0.225554,1,
10,9.99894,0.00105762,1,
9.4,9.68947,0.289473,1,
8.9,9.56446,0.664457,1,
9.4,9.42482,0.0248203,1,
9.4,9.3643,0.0357018,1,
8.3,9.30346,1.00346,0,
8.9,8.59207,0.307933,1,
8.9,8.38324,0.516763,1,
8.9,8.6436,0.256397,1,
7.8,8.66373,0.863729,0,
8.3,8.23046,0.0695391,1,
9,8.11838,0.881624,1,
8.9,8.44764,0.452364,1,
10.6,8.51801,2.08199,0,
12.2,10.0963,2.10367,0,
12.2,11.6351,0.564945,1,
13.3,11.3686,1.93141,0,
13.3,11.7533,1.54674,0,
15,12.3221,2.67794,0,
16.7,12.7968,3.90318,0,
17.8,13.8284,3.9716,0,
18.3,14.2812,4.01878,0,
18.3,14.4178,3.88225,0,
15,14.3755,0.624464,1,
15,12.9052,2.09477,0,
13.3,12.1779,1.1221,1,
13.3,11.7155,1.58453,0,
13.3,11.3359,1.96412,0,
12.2,12.2245,0.0245066,1,
12.2,11.4653,0.734656,1,
11.7,10.7068,0.993194,1,
11.7,10.2453,1.45465,0,
10.6,10.7511,0.151129,1,
11.1,10.6928,0.407165,1,
10.6,10.1112,0.48885,1,
11.7,9.95555,1.74445,0,
11.7,10.7266,0.973366,1,
12.2,10.8074,1.39262,0,
12.2,10.9888,1.21121,1,
11.1,10.9825,0.117501,1,
11.7,10.253,1.44701,0,
12.8,10.948,1.85198,0,
14.4,11.761,2.63905,0,
14.4,12.6853,1.71469,0,
17.8,12.8903,4.90968,0,
17.2,13.926,3.27401,0,
16.1,14.3555,1.74453,0,
16.1,13.4321,2.66787,0,
17.8,13.2796,4.52037,0,
16.1,14.0342,2.0658,0,
16.1,13.7895,2.31046,0,
15,13.1862,1.81376,0,
15,13.0108,1.98919,0,
